cell_kind,calib_policy,eval_policy,alpha,delta,perturbation,n_eval,n_oracle,mc_seed,cvar_truth,cvar_est,cvar_ci_lo,cvar_ci_hi,ci_covers_truth,audit_p,audit_reject,audit_p_xf,audit_reject_xf,t_hat,runtime_sec
power_curve,base,clone,0.1,0.0,tail,2000,500,100007,0.2703645200486027,0.26808223571365764,0.24131936712246485,0.29791079995838393,true,0.2275479350503271,false,0.48042255114292853,false,0.40469999999999995,1.600203037261963
power_curve,base,clone,0.1,0.0,tail,2000,500,100008,0.2703645200486027,0.2579053968537608,0.2240745744251472,0.3093581271921928,true,0.05956184801071995,false,0.5582366605732032,false,0.40479999999999994,1.6847741603851318
power_curve,base,clone,0.1,0.0,tail,2000,500,100009,0.2703645200486027,0.27248908124077964,0.2327918044204993,0.3150898401840978,true,0.07039531635615914,false,0.5900976267952658,false,0.42499999999999993,1.6040091514587402
power_curve,base,clone,0.1,0.0,tail,2000,500,100010,0.2703645200486027,0.23988925244869924,0.20986988651917582,0.28292587192089236,true,0.6930167065745363,false,0.9498418972023963,false,0.36970000000000003,1.677746057510376
power_curve,base,clone,0.1,0.0,tail,2000,500,100011,0.2703645200486027,0.21868776150068228,0.18200240760540207,0.2566400882741581,false,0.0026356793358335295,true,0.44462697832017395,false,0.365,1.6666312217712402
power_curve,base,clone,0.1,0.0,tail,2000,500,100012,0.2703645200486027,0.23011100445728216,0.19727335382130892,0.2708808927213014,true,0.007512953364166353,true,0.29485544787302187,false,0.37989999999999996,1.659909963607788
power_curve,base,clone,0.1,0.0,tail,2000,500,100013,0.2703645200486027,0.2910272078819851,0.2491585272284327,0.32589030098057387,true,0.0036620778444032,true,0.34564013818821393,false,0.40479999999999994,1.6642639636993408
power_curve,base,clone,0.1,0.0,tail,2000,500,100014,0.2703645200486027,0.257479228752416,0.226448771426273,0.29654641540739185,true,0.044156076760195506,true,0.3961102889214507,false,0.415,1.555729866027832
power_curve,base,clone,0.1,0.0,tail,2000,500,100015,0.2703645200486027,0.23134597016747088,0.19930586270289055,0.27269672820846363,true,0.016829182928652542,true,0.48583485443837326,false,0.3648,1.7435388565063477
power_curve,base,clone,0.1,0.0,tail,2000,500,100016,0.2703645200486027,0.20454391674334882,0.1700007352358474,0.24448765162485706,false,8.28205580416519e-6,true,0.09039149524748746,false,0.35,1.6804380416870117
power_curve,base,clone,0.1,0.0,tail,2000,500,100017,0.2703645200486027,0.24027387241949127,0.20832074179254717,0.27723128892983506,true,0.7751757072489394,false,0.9259627880854477,false,0.385,1.683467149734497
power_curve,base,clone,0.1,0.0,tail,2000,500,100018,0.2703645200486027,0.21055041928208257,0.1722431626814424,0.2634834455920095,false,8.385713452963017e-6,true,0.13469643567785672,false,0.38,1.6537480354309082
power_curve,base,clone,0.1,0.0,tail,2000,500,100019,0.2703645200486027,0.2570649963711631,0.20448169201038827,0.30815877994482954,true,0.009932449826875245,true,0.4063356698644376,false,0.43773333333333364,1.6704158782958984
power_curve,base,clone,0.1,0.0,tail,2000,500,100020,0.2703645200486027,0.2521473898015969,0.22239253308804544,0.29577144693880886,true,0.9931841952853178,false,0.9989252619064469,false,0.38,1.697854995727539
power_curve,base,clone,0.1,0.0,tail,2000,500,100021,0.2703645200486027,0.25551757319024204,0.2184537876212796,0.2923965888278078,true,0.09939281519391174,false,0.6975470922723088,false,0.375,1.581549882888794
power_curve,base,clone,0.1,0.0,tail,2000,500,100022,0.2703645200486027,0.2472631169315073,0.22259294820586412,0.285290882682971,true,0.000021331874170527065,true,0.15912881003859436,false,0.3453333333333333,1.6820957660675049
power_curve,base,clone,0.1,0.0,tail,2000,500,100023,0.2703645200486027,0.23034734988191874,0.19534040312816156,0.2776099752090568,true,0.041860736552640665,true,0.5610294915764723,false,0.365,1.6426172256469727
