config_id,estimator,variance,ci,policy,n_oracle,rep,v_hat,truth,ci_lo,ci_hi
1,plug_in,if,wald,uniform,50,160,0.47285508759947653,0.5,0.46181720775151885,0.4838929674474342
1,plug_in,if,wald,uniform,50,161,0.5105500937793137,0.5,0.49863579671301667,0.5224643908456107
1,plug_in,if,wald,uniform,50,162,0.48360358945445386,0.5,0.47266985101500164,0.4945373278939061
1,plug_in,if,wald,uniform,50,163,0.47060408319207647,0.5,0.46053018185197736,0.4806779845321756
1,plug_in,if,wald,uniform,50,148,0.5346923803492921,0.5,0.5235358139290496,0.5458489467695347
1,plug_in,if,wald,uniform,50,149,0.4767885062908459,0.5,0.46572395751083145,0.48785305507086035
1,plug_in,if,wald,uniform,50,150,0.48226580436539407,0.5,0.4705647527059864,0.4939668560248017
1,plug_in,if,wald,uniform,50,151,0.4924188097218609,0.5,0.4792550647729158,0.505582554670806
1,plug_in,if,wald,uniform,50,168,0.4914142058478784,0.5,0.48114216190131276,0.5016862497944441
1,plug_in,if,wald,uniform,50,169,0.4524840236412398,0.5,0.4411255076511085,0.4638425396313711
1,plug_in,if,wald,uniform,50,170,0.47790574648980605,0.5,0.4675411192462228,0.4882703737333893
1,plug_in,if,wald,uniform,50,171,0.5195230503693598,0.5,0.5065311520788193,0.5325149486599002
1,plug_in,if,wald,uniform,50,164,0.526739304855654,0.5,0.5152367072481787,0.5382419024631293
1,plug_in,if,wald,uniform,50,165,0.47699261067405846,0.5,0.4664674542703196,0.4875177670777973
1,plug_in,if,wald,uniform,50,166,0.5255420529919905,0.5,0.5157486975156081,0.5353354084683729
1,plug_in,if,wald,uniform,50,167,0.5371882878639685,0.5,0.5257065061616361,0.548670069566301
1,plug_in,if,wald,uniform,50,176,0.49559178810842675,0.5,0.48507081193930174,0.5061127642775517
1,plug_in,if,wald,uniform,50,177,0.4723737880603611,0.5,0.4613289573431903,0.48341861877753195
1,plug_in,if,wald,uniform,50,178,0.49937276404771175,0.5,0.4883244828210369,0.5104210452743866
1,plug_in,if,wald,uniform,50,179,0.5074184512561023,0.5,0.49580039050658536,0.5190365120056193
1,plug_in,if,wald,uniform,50,180,0.5096726095520115,0.5,0.4975683284166829,0.5217768906873401
1,plug_in,if,wald,uniform,50,181,0.4921934282624848,0.5,0.48072153736984063,0.503665319155129
1,plug_in,if,wald,uniform,50,182,0.4914839049834282,0.5,0.4810253146572508,0.5019424953096057
