n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,247,uniform,26,boot_fixed,5.710726610495971,0.057534914586981456,PASS
1500,261,uniform,28,analytical,2.836425844541223,0.24214636483813878,PASS
1500,261,uniform,28,boot_remax_ridge,0.03506827425115539,0.9826186913148621,PASS
1500,261,uniform,28,boot_remax_no_ridge,4.214293012951989,0.12158441224082117,PASS
1500,261,uniform,28,boot_fixed,2.903608981643403,0.234147389834655,PASS
1500,222,uniform,29,analytical,7.53798095964018,0.023075346560792465,REFUSE-LEVEL
1500,222,uniform,29,boot_remax_ridge,0.28755764631491215,0.8660792835581459,PASS
1500,222,uniform,29,boot_remax_no_ridge,7.074200407840635,0.029097581916206927,REFUSE-LEVEL
1500,222,uniform,29,boot_fixed,7.957613612787181,0.018707948229889193,REFUSE-LEVEL
1500,248,uniform,30,analytical,2.1202957716186446,0.34640457822049675,PASS
1500,248,uniform,30,boot_remax_ridge,0.12551648450905029,0.9391704979877962,PASS
1500,248,uniform,30,boot_remax_no_ridge,1.7715896967624682,0.41238625842506593,PASS
1500,248,uniform,30,boot_fixed,2.1786739265871233,0.33643949150306374,PASS
1500,260,uniform,31,analytical,1.6250205701077796,0.44374274613955234,PASS
1500,260,uniform,31,boot_remax_ridge,0.00021683323073405585,0.9998915892615018,PASS
1500,260,uniform,31,boot_remax_no_ridge,2.372845086240279,0.30531155158632406,PASS
1500,260,uniform,31,boot_fixed,1.6346619092917232,0.44160875673810895,PASS
1500,233,uniform,32,analytical,0.20520781199950178,0.9024843713400764,PASS
1500,233,uniform,32,boot_remax_ridge,0.011486739560497066,0.9942730918378367,PASS
1500,233,uniform,32,boot_remax_no_ridge,0.27472476432179976,0.8716542969243352,PASS
1500,233,uniform,32,boot_fixed,0.2148108118530586,0.898161479185488,PASS
1500,268,uniform,33,analytical,2.9006566938015585,0.2344932803100126,PASS
1500,268,uniform,33,boot_remax_ridge,0.15967627160466988,0.9232657779668804,PASS
1500,268,uniform,33,boot_remax_no_ridge,2.908762911045418,0.23354477706561838,PASS
1500,268,uniform,33,boot_fixed,2.642100363481118,0.2668549086072298,PASS
1500,236,uniform,35,analytical,1.4676965159944428,0.4800580437089972,PASS
1500,236,uniform,35,boot_remax_ridge,0.08396554839747326,0.9588862980150248,PASS
1500,236,uniform,35,boot_remax_no_ridge,1.7750463104216605,0.41167414399157765,PASS
1500,236,uniform,35,boot_fixed,1.4635946591631377,0.4810436187184295,PASS
1500,255,uniform,34,analytical,0.8630790404497315,0.6495083933132096,PASS
1500,255,uniform,34,boot_remax_ridge,0.07265676890074438,0.9643235726164907,PASS
1500,255,uniform,34,boot_remax_no_ridge,0.9323042609483706,0.6274118283277099,PASS
